"","CONTRIBUTION_ID","PERIOD_START","PERIOD_END","CONTRIBUTION_DATE","RECIPIENT","AMOUNT","LOBBYIST_ID","LOBBYIST_FIRST_NAME","LOBBYIST_LAST_NAME","CREATED_DATE","CONTRIBUTION_DATE3","recipient_surname"
"1",125,"01/01/2012","06/30/2012","06/05/2012","Alderman Will Burns","$500.00",8061,"David","Dring","08/08/2012",2012-06-05,"Burns"
"2",147,"01/01/2012","06/30/2012","02/18/2012","40th Ward Organization","$100.00",6922,"Robert","Gamrath","08/10/2012",2012-02-18,NA
"3",181,"01/01/2012","06/30/2012","04/26/2012","Alderman Toni Foulkes","$1000.00",5858,"Thomas","Livingston","08/14/2012",2012-04-26,"Foulkes"
"4",187,"01/01/2012","06/30/2012","04/24/2012","Citizens for Tunney","$500.00",6039,"Michael","Lufrano","08/14/2012",2012-04-24,"Tunney"
"5",295,"01/01/2012","06/30/2012","06/29/2012","Citizens for Alderman Reilly","$200.00",8482,"Daniel","Shomon","08/22/2012",2012-06-29,"Reilly"
"6",294,"01/01/2012","06/30/2012","06/13/2012","Friends of Will Burns","$300.00",8482,"Daniel","Shomon","08/22/2012",2012-06-13,"Burns"
"7",342,"01/01/2012","06/30/2012","03/01/2012","Alderman Patrick J. O'Connor","$1500.00",7001,"Meredith","O'Connor","08/23/2012",2012-03-01,"O'Connor"
"8",422,"01/01/2012","06/30/2012","02/21/2012","Friends of Walter Burnett Jr.","$150.00",8621,"Joseph","Pilewski","08/28/2012",2012-02-21,"Burnett"
"9",354,"01/01/2012","06/30/2012","06/26/2012","Citizens for Tim Cullerton","$1000.00",6116,"Michael","Paulos","08/23/2012",2012-06-26,"Cullerton"
"10",353,"01/01/2012","06/30/2012","06/26/2012","Neighbors for Harry Osterman","$1500.00",6116,"Michael","Paulos","08/23/2012",2012-06-26,"Osterman"
"11",356,"01/01/2012","06/30/2012","05/24/2012","Leslie Hairston, Alderman","$150.00",5728,"Lewis","Powell","08/23/2012",2012-05-24,"Hairston"
"12",302,"01/01/2012","06/30/2012","06/01/2012","Friends of Will Burns","$250.00",6063,"Judith","Roettig","08/22/2012",2012-06-01,"Burns"
"13",322,"01/01/2012","06/30/2012","03/02/2012","Alderman Proco Joe Moreno","$250.00",7771,"COURTNEY","NOTTAGE","08/23/2012",2012-03-02,"Moreno"
"14",321,"01/01/2012","06/30/2012","02/07/2012","Alderman Richard Mell","$300.00",7771,"COURTNEY","NOTTAGE","08/23/2012",2012-02-07,"Mell"
"15",289,"01/01/2012","06/30/2012","02/23/2012","Friends of Proco Joe Moreno","$250.00",8225,"Jerome","Schain","08/22/2012",2012-02-23,"Moreno"
"16",383,"01/01/2012","06/30/2012","06/11/2012","33rd Ward Regular Democratic Organization","$1000.00",8581,"John","Kelly, Jr.","08/27/2012",2012-06-11,NA
"17",546,"01/01/2012","06/30/2012","02/04/2012","Alderman Joe Moreno","$250.00",8750,"John","Dunn","08/30/2012",2012-02-04,"Moreno"
"18",661,"01/01/2012","06/30/2012","06/28/2012","Alderman Tim Cullerton","$250.00",9001,"William","Smith","09/14/2012",2012-06-28,"Cullerton"
"19",627,"01/01/2012","06/30/2012","06/13/2012","Citizens for Tim Cullerton","$250.00",7827,"Marcus","Nunes","09/07/2012",2012-06-13,"Cullerton"
"20",721,"01/01/2012","06/30/2012","05/09/2012","Friends of Leslie A Hairston","$150.00",9143,"Joseph","Gattuso","09/25/2012",2012-05-09,"Hairston"
"21",702,"01/01/2012","06/30/2012","05/09/2012","Friends of Leslie A Hairston","$150.00",9062,"Joseph","Gattuso","09/19/2012",2012-05-09,"Hairston"
"22",482,"01/01/2012","06/30/2012","05/01/2012","Friends of Will Burns","$100.00",5717,"Joseph","McDermott","08/29/2012",2012-05-01,"Burns"
"23",582,"01/01/2012","06/30/2012","05/31/2012","Will Burns","$300.00",8845,"Elvin","Charity","09/05/2012",2012-05-31,"Burns"
"24",571,"01/01/2012","06/30/2012","06/12/2012","The Burnham Committee","$1500.00",8801,"John","Kelly, Jr.","09/04/2012",2012-06-12,NA
"25",628,"01/01/2012","06/30/2012","06/27/2012","Friends of Proco Joe Moreno","$500.00",8904,"Joseph","Gattuso","09/07/2012",2012-06-27,"Moreno"
"26",525,"01/01/2012","06/30/2012","05/01/2012","19th Ward Democratic Organization","$125.00",5891,"Elizabeth","Lively","08/29/2012",2012-05-01,NA
"27",522,"01/01/2012","06/30/2012","04/27/2012","Citizens for Munoz","$150.00",5891,"Elizabeth","Lively","08/29/2012",2012-04-27,"Munoz"
"28",513,"01/01/2012","06/30/2012","02/23/2012","Friends to Elect Toni Foulkes","$150.00",5891,"Elizabeth","Lively","08/29/2012",2012-02-23,"Foulkes"
"29",623,"01/01/2012","06/30/2012","06/18/2012","Neighbors for Harry Osterman","$500.00",8889,"Jerry","Mickelson","09/06/2012",2012-06-18,"Osterman"
"30",622,"01/01/2012","06/30/2012","02/23/2012","Friends of Walter Burnett Jr.","$500.00",8889,"Jerry","Mickelson","09/06/2012",2012-02-23,"Burnett"
"31",767,"01/01/2012","06/30/2012","05/30/2012","Will Burns, Friends of","$1000.00",9300,"Lawrence","White","09/27/2012",2012-05-30,"Burns"
"32",886,"07/01/2012","09/30/2012","09/25/2012","Sandi Jackson","$500.00",5982,"Adrienne","Alexander","10/05/2012",2012-09-25,"Jackson"
"33",883,"07/01/2012","09/30/2012","09/25/2012","Sandi Jackson","$500.00",5982,"Adrienne","Alexander","10/05/2012",2012-09-25,"Jackson"
"34",812,"01/01/2012","06/30/2012","06/29/2012","Citizens for Alderman Reilly","$1000.00",9353,"John","Kelly, Jr.","10/01/2012",2012-06-29,"Reilly"
"35",810,"01/01/2012","06/30/2012","06/12/2012","The Burnham Committee","$1500.00",9353,"John","Kelly, Jr.","10/01/2012",2012-06-12,NA
"36",824,"01/01/2012","06/30/2012","04/07/2012","Citizens for Patrick O'Connor","$100.00",9382,"Michael","Lufrano","10/03/2012",2012-04-07,"O'Connor"
"37",1073,"07/01/2012","09/30/2012","07/29/2012","Friends of Mary O'Connor","$150.00",7759,"Mary","Minaghan","10/15/2012",2012-07-29,"O'Connor"
"38",841,"07/01/2012","09/30/2012","09/28/2012","Friends of Mary O'Connor","$115.00",6063,"Judith","Roettig","10/04/2012",2012-09-28,"O'Connor"
"39",922,"07/01/2012","09/30/2012","09/13/2012","Alderman James Cappleman","$250.00",7771,"COURTNEY","NOTTAGE","10/09/2012",2012-09-13,"Cappleman"
"40",1042,"01/01/2012","06/30/2012","06/05/2012","Alderman Richard Munoz","$250.00",9582,"MICHAEL","KASPER","10/15/2012",2012-06-05,"Munoz"
"41",1054,"07/01/2012","09/30/2012","08/17/2012","Citizens for Pat Dowell","$100.00",5891,"Elizabeth","Lively","10/15/2012",2012-08-17,"Dowell"
"42",1047,"07/01/2012","09/30/2012","07/23/2012","Citizens for Joe Moore","$125.00",5891,"Elizabeth","Lively","10/15/2012",2012-07-23,"Moore"
"43",1157,"07/01/2012","09/30/2012","07/26/2012","Danny Solis","$500.00",8750,"John","Dunn","10/19/2012",2012-07-26,"Solis"
"44",1182,"07/01/2012","09/30/2012","07/02/2012","Forty Third Ward Democrats","$500.00",5762,"William","Griffin","10/22/2012",2012-07-02,NA
"45",1167,"07/01/2012","09/30/2012","10/01/2012","Friends of Leslie A Hairston","$450.00",7751,"Peter","Cassel","10/21/2012",2012-10-01,"Hairston"
"46",1290,"07/01/2012","09/30/2012","08/30/2012","Citizens for Pat Dowell","$250.00",5716,"Stacy","Davis Gates","11/01/2012",2012-08-30,"Dowell"
"47",1128,"07/01/2012","09/30/2012","09/13/2012","Alderman Ariel Reboyras","$1500.00",6116,"Michael","Paulos","10/18/2012",2012-09-13,"Reboyras"
"48",1165,"01/01/2012","06/30/2012","06/13/2012","Citizens for Tim Cullerton","$250.00",9721,"Marcus","Nunes","10/20/2012",2012-06-13,"Cullerton"
"49",1821,"10/01/2012","12/31/2012","10/22/2012","none","$0.00",9209,"Jean-Francois","Decaux","01/15/2013",2012-10-22,NA
"50",1822,"10/01/2012","12/31/2012","12/13/2012","Carrie Austin","$500.00",8182,"Darryl","Denham","01/15/2013",2012-12-13,"Austin"
"51",1447,"07/01/2012","09/30/2012","08/30/2012","Citizens for Deborah Graham","$500.00",10101,"Stacy","Davis Gates","12/13/2012",2012-08-30,"Graham"
"52",1701,"10/01/2012","12/31/2012","10/25/2012","Alderman John Arena","$100.00",6006,"William","Hood","01/09/2013",2012-10-25,"Arena"
"53",1511,"01/01/2012","06/30/2012","06/05/2012","Alderman Tom Tunney","$250.00",10282,"COURTNEY","NOTTAGE","12/21/2012",2012-06-05,"Tunney"
"54",1942,"10/01/2012","12/31/2012","11/07/2012","23rd Ward Regular Democratic Party Organization","$500.00",5762,"William","Griffin","01/18/2013",2012-11-07,NA
"55",1503,"01/01/2012","06/30/2012","06/05/2012","Alderman Will Burns","$500.00",10281,"MICHAEL","KASPER","12/21/2012",2012-06-05,"Burns"
"56",1401,"07/01/2012","09/30/2012","08/29/2012","Danny Solis for Alderman Committee","$100.00",10064,"Terrance","Diamond","12/11/2012",2012-08-29,"Solis"
"57",1405,"07/01/2012","09/30/2012","09/19/2012","14th Ward Democratic Organization","$500.00",10071,"Jeanette","Sublett","12/11/2012",2012-09-19,NA
"58",1423,"07/01/2012","09/30/2012","09/13/2012","Alderman Carrie Austin","$500.00",10081,"MICHAEL","KASPER","12/12/2012",2012-09-13,"Austin"
"59",1422,"07/01/2012","09/30/2012","09/13/2012","Alderman Walter Burnett, Jr.","$300.00",10081,"MICHAEL","KASPER","12/12/2012",2012-09-13,"Burnett"
"60",1421,"07/01/2012","09/30/2012","09/13/2012","Alderman James Cappleman","$250.00",10081,"MICHAEL","KASPER","12/12/2012",2012-09-13,"Cappleman"
